original,target,category,note
Body.Doors.Row2.Left.IsOpen,Vehicle.Cabin.Door.Row2.DriverSide.IsOpen,canonical-door-side-rename,Row2.Left → Row2.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Left.IsRemoved,Vehicle.Cabin.Door.Row2.DriverSide.IsRemoved,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.Latch.IsLatched,Vehicle.Cabin.Door.Row2.DriverSide.Latch.IsLatched,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.LatchStatus,Vehicle.Cabin.Door.Row2.DriverSide.LatchStatus,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.Soldier.IsUnlocked,Vehicle.Cabin.Door.Row2.DriverSide.Soldier.IsUnlocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.Window.MotorDirection,Vehicle.Cabin.Door.Row2.DriverSide.Window.MotorDirection,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Left.Window.Position,Vehicle.Cabin.Door.Row2.DriverSide.Window.Position,canonical-door-side-rename,Row2.Left → Row2.DriverSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Right.CloseCmd,Vehicle.Cabin.Door.Row2.PassengerSide.CloseCmd,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.Handle.Inside.IsPulled,Vehicle.Cabin.Door.Row2.PassengerSide.Handle.Inside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.Handle.Outside.IsPulled,Vehicle.Cabin.Door.Row2.PassengerSide.Handle.Outside.IsPulled,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.IsChildLockActive,Vehicle.Cabin.Door.Row2.PassengerSide.IsChildLockActive,canonical-door-side-rename,Row2.Right → Row2.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Right.IsDoubleLocked,Vehicle.Cabin.Door.Row2.PassengerSide.IsDoubleLocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.IsLocked,Vehicle.Cabin.Door.Row2.PassengerSide.IsLocked,canonical-door-side-rename,Row2.Right → Row2.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Right.IsOpen,Vehicle.Cabin.Door.Row2.PassengerSide.IsOpen,canonical-door-side-rename,Row2.Right → Row2.PassengerSide (LHD assumed; flips on RHD)
Body.Doors.Row2.Right.IsRemoved,Vehicle.Cabin.Door.Row2.PassengerSide.IsRemoved,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.Latch.IsLatched,Vehicle.Cabin.Door.Row2.PassengerSide.Latch.IsLatched,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.LatchStatus,Vehicle.Cabin.Door.Row2.PassengerSide.LatchStatus,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.Soldier.IsUnlocked,Vehicle.Cabin.Door.Row2.PassengerSide.Soldier.IsUnlocked,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.Window.MotorDirection,Vehicle.Cabin.Door.Row2.PassengerSide.Window.MotorDirection,project-door-side-extension,mirrors VSS Door schema; suffix not in v6.0 catalog
Body.Doors.Row2.Right.Window.Position,Vehicle.Cabin.Door.Row2.PassengerSide.Window.Position,canonical-door-side-rename,Row2.Right → Row2.PassengerSide (LHD assumed; flips on RHD)
Body.FuelLid.IsOpen,Vehicle.Body.Bridge.Body.FuelLid.IsOpen,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Hood.CloseCmd,Vehicle.Body.Bridge.Body.Hood.CloseCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Hood.IsOpen,Vehicle.Body.Hood.IsOpen,canonical-with-vehicle-prefix,
Body.Hood.LatchState,Vehicle.Body.Bridge.Body.Hood.LatchState,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Hood.OpenCmd,Vehicle.Body.Bridge.Body.Hood.OpenCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Horn.IsActive,Vehicle.Body.Horn.IsActive,canonical-with-vehicle-prefix,
Body.Lights.AmbientLightSensor.Illuminance,Vehicle.Body.Bridge.Body.Lights.AmbientLightSensor.Illuminance,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.Backup.IsActive,Vehicle.Body.Bridge.Body.Lights.Backup.IsActive,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.Beam.High.IsOn,Vehicle.Body.Lights.Beam.High.IsOn,canonical-with-vehicle-prefix,
Body.Lights.Beam.Low.IsOn,Vehicle.Body.Lights.Beam.Low.IsOn,canonical-with-vehicle-prefix,
Body.Lights.Brake.IsActive,Vehicle.Body.Lights.Brake.IsActive,canonical-with-vehicle-prefix,
Body.Lights.DirectionIndicator.Left.IsSignaling,Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling,canonical-with-vehicle-prefix,
Body.Lights.DirectionIndicator.Left.Lamp.Front.IsDefect,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Left.Lamp.Front.IsDefect,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Left.Lamp.Front.IsOn,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Left.Lamp.Front.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Left.Lamp.Rear.IsDefect,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Left.Lamp.Rear.IsDefect,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Left.Lamp.Rear.IsOn,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Left.Lamp.Rear.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Left.Lamp.Side.IsDefect,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Left.Lamp.Side.IsDefect,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Left.Lamp.Side.IsOn,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Left.Lamp.Side.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Right.IsSignaling,Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling,canonical-with-vehicle-prefix,
Body.Lights.DirectionIndicator.Right.Lamp.Front.IsDefect,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Right.Lamp.Front.IsDefect,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Right.Lamp.Front.IsOn,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Right.Lamp.Front.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Right.Lamp.Rear.IsDefect,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Right.Lamp.Rear.IsDefect,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Right.Lamp.Rear.IsOn,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Right.Lamp.Rear.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Right.Lamp.Side.IsDefect,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Right.Lamp.Side.IsDefect,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.DirectionIndicator.Right.Lamp.Side.IsOn,Vehicle.Body.Bridge.Body.Lights.DirectionIndicator.Right.Lamp.Side.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.Fog.Front.IsOn,Vehicle.Body.Lights.Fog.Front.IsOn,canonical-with-vehicle-prefix,
Body.Lights.Fog.Rear.IsOn,Vehicle.Body.Lights.Fog.Rear.IsOn,canonical-with-vehicle-prefix,
Body.Lights.Hazard.IsSignaling,Vehicle.Body.Lights.Hazard.IsSignaling,canonical-with-vehicle-prefix,
Body.Lights.LicensePlate.IsOn,Vehicle.Body.Lights.LicensePlate.IsOn,canonical-with-vehicle-prefix,
Body.Lights.LightSwitch,Vehicle.Body.Lights.LightSwitch,canonical-with-vehicle-prefix,
Body.Lights.Parking.IsOn,Vehicle.Body.Lights.Parking.IsOn,canonical-with-vehicle-prefix,
Body.Lights.Puddle.Left.IsOn,Vehicle.Body.Bridge.Body.Lights.Puddle.Left.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.Puddle.Right.IsOn,Vehicle.Body.Bridge.Body.Lights.Puddle.Right.IsOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Lights.Running.IsOn,Vehicle.Body.Lights.Running.IsOn,canonical-with-vehicle-prefix,
Body.Mirror.Left.AdjustCmd,Vehicle.Body.Bridge.Body.Mirror.Left.AdjustCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Left.FoldCmd,Vehicle.Body.Bridge.Body.Mirror.Left.FoldCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Left.IsFolded,Vehicle.Body.Bridge.Body.Mirror.Left.IsFolded,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Left.IsHeatingOn,Vehicle.Body.Bridge.Body.Mirror.Left.IsHeatingOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Left.Tilt,Vehicle.Body.Bridge.Body.Mirror.Left.Tilt,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Left.Yaw,Vehicle.Body.Bridge.Body.Mirror.Left.Yaw,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Right.AdjustCmd,Vehicle.Body.Bridge.Body.Mirror.Right.AdjustCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Right.FoldCmd,Vehicle.Body.Bridge.Body.Mirror.Right.FoldCmd,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Right.IsFolded,Vehicle.Body.Bridge.Body.Mirror.Right.IsFolded,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Right.IsHeatingOn,Vehicle.Body.Bridge.Body.Mirror.Right.IsHeatingOn,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Right.Tilt,Vehicle.Body.Bridge.Body.Mirror.Right.Tilt,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.Mirror.Right.Yaw,Vehicle.Body.Bridge.Body.Mirror.Right.Yaw,project-namespace-fallback,no canonical found; assigned to bridge namespace pending review
Body.PEPS.ApproachKeys,Vehicle.Body.Bridge.Body.PEPS.ApproachKeys,project-namespace,simulator-internal PEPS plant state
Body.PEPS.ApproachPoll,Vehicle.Body.Bridge.Body.PEPS.ApproachPoll,project-namespace,simulator-internal PEPS plant state
Body.PEPS.ApproachPollInterval,Vehicle.Body.Bridge.Body.PEPS.ApproachPollInterval,project-namespace,simulator-internal PEPS plant state
Body.PEPS.ApproachState,Vehicle.Body.Bridge.Body.PEPS.ApproachState,project-namespace,simulator-internal PEPS plant state
Body.PEPS.BleChallenge,Vehicle.Body.Bridge.Body.PEPS.BleChallenge,project-namespace,simulator-internal PEPS plant state
Body.PEPS.KeyPresent,Vehicle.Body.Bridge.Body.PEPS.KeyPresent,project-namespace,simulator-internal PEPS plant state
Body.PEPS.LfChallenge,Vehicle.Body.Bridge.Body.PEPS.LfChallenge,project-namespace,simulator-internal PEPS plant state
Body.PEPS.LostKeyWarning,Vehicle.Body.Bridge.Body.PEPS.LostKeyWarning,project-namespace,simulator-internal PEPS plant state
Body.PEPS.NfcAuthBypass,Vehicle.Body.Bridge.Body.PEPS.NfcAuthBypass,project-namespace,simulator-internal PEPS plant state
Body.PEPS.NfcChallenge,Vehicle.Body.Bridge.Body.PEPS.NfcChallenge,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.1.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.1.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.1.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.1.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.1.NfcTap,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.1.NfcTap,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.1.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.1.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.1.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.1.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.2.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.2.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.2.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.2.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.2.NfcTap,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.2.NfcTap,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.2.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.2.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.BlePhone.2.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.BlePhone.2.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.ButtonPress,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.ButtonPress,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.Paired,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.Paired,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.RfMessage,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.RfMessage,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.1.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.1.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.ButtonPress,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.ButtonPress,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.Paired,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.Paired,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.RfMessage,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.RfMessage,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.2.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.2.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.ButtonPress,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.ButtonPress,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.Paired,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.Paired,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.RfMessage,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.RfMessage,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.3.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.3.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.ButtonPress,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.ButtonPress,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.LastObservedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.Paired,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.Paired,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.PlacedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.PlacedZone,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.RfMessage,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.RfMessage,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.4.RssiResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.4.RssiResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.5.ChallengeResponse,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.5.ChallengeResponse,project-namespace,simulator-internal PEPS plant state
Body.PEPS.Plant.KeyFob.5.LastObservedZone,Vehicle.Body.Bridge.Body.PEPS.Plant.KeyFob.5.LastObservedZone,project-namespace,simulator-internal PEPS plant state
